"","N_SQ_VO","VOIE_ID"
"4178","750005372","2225"
"4184","750003638","2833"
"4186","750003492","3839"
"4195","750006396","4708"
"4205","750003295","4877"
"4206","750003007","6619"
"4212","750002838","8050"
"4230","750002724","8242"
"4233","750003292","4850"
"4346","750002548","9627"
"4448","750004072","138"
"4460","750004079","155"
"4492","750004087","186"
"4516","750004090","215"
"4539","750004101","267"
"4556","750004052","447"
"4576","750004022","788"
"4612","750003973","963"
"4685","750003909","1128"
"4697","750003911","1136"
"4725","750003926","1246"
"4749","750003870","1415"
"4774","750003803","1877"
"4779","750003812","1931"
"4810","750003754","2057"
"4829","750005077","21"
"4846","750004070","119"
"4863","750004097","253"
"4904","750003958","848"
"4930","750003833","1678"
"4996","750003780","2257"
"5000","750004827","3019"
"5045","750006422","3652"
"5060","750006406","4253"
"5127","750003268","5241"
"5189","750004045","376"
"5271","750006427","3116"
"5324","750003312","4569"
"5343","750003696","2697"
"5363","750006379","6043"
"5381","750004537","6098"
"5425","750006372","6142"
"5446","750003108","6222"
"5451","750003005","6605"
"5470","750003558","3307"
"5523","750006361","6959"
"5596","750002731","8272"
"5628","750002655","8960"
"5657","750006324","8439"
"5698","750003706","2785"
"5714","750003612","3118"
"5740","750006374","6206"
"5766","750002880","7283"
"5829","750002883","7304"
"5861","750002769","8081"
"5893","750002506","9825"
"5950","750002546","9610"
"5964","750003368","4446"
"6059","750003632","2824"
"6079","750006462","1374"
"6115","750003836","1686"
"6142","750003809","1910"
"6222","750003810","1915"
"6272","750003777","2230"
"6277","750003525","3536"
"6345","750004791","3538"
"6434","750003527","3541"
"6662","750006418","3544"
"6915","750003315","4594"
"6930","750002576","9177"
"6960","750003510","3468"
"6991","750003536","3586"
"7004","750006413","3809"
"7020","750003501","3910"
"7037","750003462","4114"
"7054","750003353","4367"
"7063","750003359","4397"
"7075","750006402","4492"
"7083","750003311","4558"
"7091","750003338","4717"
"7131","750003344","4747"
"7144","750007765","4954"
"7172","750003288","4835"
"7187","750003242","4981"
"7215","750004617","5159"
"7364","750003200","5417"
"7373","750003212","5494"
"7393","750007438","5502"
"7404","750003166","5705"
"7483","750003182","5778"
"7536","750006378","5998"
"7553","750003075","6050"
"7575","750003043","6366"
"7585","750002949","7204"
"7611","750002893","7345"
"7646","750002902","7375"
"7650","750002903","7380"
"7661","750006351","7387"
"7680","750002779","8128"
"7733","750002801","8234"
"7749","750002704","9071"
"7780","750002715","8894"
"7795","750002721","8922"
"7838","750002664","9004"
"7864","750002685","8591"
"7870","750002570","9149"
"7889","750002581","9195"
"7904","750002490","9747"
"7936","750002451","9983"
"7974","750004071","134"
"7983","750002560","9706"
"7987","750003278","4797"
"7992","750006117","Y796"
"7993","750007291","Y893"
"8004","750006970","5344"
"8015","750002267","Y011"
"8017","750007178","7365"
"8030","750002488","9732"
"8053","750003924","1244"
"8067","750002783","8146"
"8191","750002647","9111"
"8212","750002533","9462"
"8217","750003347","4759"
"8243","750003199","5402"
"8468","750002890","7341"
"8607","750002224","Y131"
"8613","750006030","780"
"8664","750003953","828"
"8704","750006448","1890"
"8779","750003101","6183"
"8846","750005843","3658"
"8859","750005541","9157"
"8887","750003231","4953"
"8921","750002793","8197"
"9069","750002514","9872"
"9372","750004021","768"
"9430","750003970","927"
"9431","750004040","329"
"9441","750004104","277"
"9455","750002743","8326"
"9462","750003691","2673"
"9475","750003995","574"
"9482","750003323","4616"
"9486","750002886","7331"
"9506","750002527","9447"
"9523","750003726","2406"
"9533","750003598","3039"
"9553","750003608","3074"
"9586","750003420","4303"
"9599","750003324","4620"
"9631","750003296","4886"
"9649","750002991","6979"
"9654","750002860","7583"
"9677","750002625","8669"
"9683","750002515","9873"
"9707","750003667","2523"
"9708","750003685","2628"
"9723","750003694","2683"
"9725","750003584","3427"
"9727","750003320","4617"
"9751","750002982","6896"
"9765","750003519","3504"
"9775","750003889","1493"
"9777","750003786","2314"
"9786","750006365","6752"
"9788","750003340","4722"
"9794","750002826","7960"
"9801","750002713","8879"
"9814","750002716","8899"
"9823","750002648","8938"
"9825","750002500","9794"
"9827","750008027","8150"
"9831","750002181","Y261"
"9841","750002185","Y281"
"9844","750004102","273"
"9849","750003987","1109"
"9855","750006990","1560"
"9857","750003801","1871"
"9865","750003678","2586"
"9878","750004002","628"
"9886","750003692","2674"
"9896","750003693","2682"
"9911","750006367","6437"
"9922","750006398","4742"
"9929","750002815","7806"
"9945","750002532","9457"
"9957","750003944","1381"
"9967","750003486","3796"
"9975","750006393","4909"
"9977","750006388","5226"
"9991","750006368","6503"
"9998","750002917","7454"
"10001","750002861","7584"
"10009","750002828","7978"
"10018","750002659","8978"
"10029","750002538","9478"
"10049","750006689","Y421"
"10053","750002135","Y461"
"10059","750006476","195"
"10082","750006467","682"
"10093","750003972","936"
"10117","750003942","1377"
"10132","750003787","1826"
"10167","750003724","2398"
"10193","750006466","1102"
"10218","750003471","3717"
"10241","750003473","3724"
"10257","750003118","5847"
"10282","750002881","7287"
"10286","750006473","462"
"10291","750006373","6185"
"10313","750003610","3102"
"10315","750002645","9108"
"10322","750003945","1382"
"10402","750003815","1959"
"10411","750003819","1982"
"10424","750003587","2984"
"10437","750006391","4858"
"10447","750003594","3010"
"10468","750002534","9463"
"10482","750003427","4331"
"10494","750003451","4347"
"10499","750003354","4371"
"10523","750003304","4905"
"10532","750006385","5582"
"10546","750003157","5646"
"10555","750003178","5745"
"10568","750002891","7342"
"10573","750002918","7455"
"10591","750002763","8060"
"10599","750002729","8262"
"10611","750002758","8757"
"10627","750002760","8768"
"10634","750006336","8776"
"10658","750002692","9024"
"10672","750002720","8921"
"10681","750002654","8956"
"10700","750002657","8970"
"10708","750002660","8979"
"10741","750002665","8427"
"10751","750002584","9251"
"10797","750002542","9498"
"10818","750002489","9742"
"10825","750007888","2563"
"10826","750006019","697"
"10830","750003008","6625"
"10848","750007322","4584"
"10849","750002947","7205"
"10852","750008020","4583"
"10860","750003207","5462"
"10874","750004141","32"
"10878","750004085","179"
"10943","750004096","240"
"10963","750004103","274"
"11128","750006474","513"
"11143","750003988","532"
"11162","750004011","683"
"11218","750003916","1182"
"11234","750000324","1243"
"11258","750003931","1273"
"11309","750003880","1450"
"11332","750006931","1561"
"11350","750007406","1656"
"11362","750003851","1765"
"11412","750003789","1831"
"11428","750003807","1896"
"11441","750003823","1992"
"11458","750003767","2146"
"11460","750003781","2268"
"11463","750003731","2429"
"11484","750003672","2555"
"11493","750003680","2598"
"11506","750003950","809"
"11531","750003925","1245"
"11535","750003886","1476"
"11548","750003806","1891"
"11743","750003739","2467"
"11773","750003687","2656"
"11784","750003734","2448"
"11800","750003470","3716"
"11909","750003472","3718"
"11996","750003476","3731"
"12092","750003480","3748"
"12124","750003119","5848"
"12134","750002956","7278"
"12155","750002908","7417"
"12186","750006389","5271"
"12232","750002812","7775"
"12249","750002744","8327"
"12457","750004056","464"
"12475","750002969","6855"
"12521","750003124","5896"
"12577","750003058","6438"
"12598","750003059","6465"
"12730","750003015","6654"
"12746","750003020","6686"
"12767","750006438","2729"
"12786","750003980","1038"
"12819","750003915","1176"
"12863","750003409","4185"
"12880","750003317","4609"
"12897","750003006","6607"
"12916","750002646","9109"
"12947","750002528","9448"
"12987","750002529","9450"
"13002","750002540","9485"
"13019","750002553","9665"
"13052","750003660","2944"
"13061","750003816","1960"
"13222","750003822","1990"
"13225","750003778","2234"
"13237","750006443","2509"
"13311","750003526","3540"
"13470","750003449","4013"
"13486","750003452","4046"
"13509","750003415","4243"
"13536","750003138","5955"
"13553","750003064","6515"
"13567","750006370","6544"
"13610","750002997","7020"
"13621","750003603","3058"
"13641","750006429","3172"
"13659","750003553","3276"
"13693","750003521","3508"
"13739","750003534","3582"
"13745","750003491","3811"
"13752","750003497","3886"
"13772","750003500","3907"
"13783","750003430","3941"
"13803","750003391","4112"
"13822","750003404","4167"
"13834","750003406","4171"
"13897","750003410","4188"
"13909","750006408","4332"
"13934","750003350","4350"
"13950","750003384","4515"
"13968","750003334","4704"
"13972","750003342","4737"
"13975","750003282","4817"
"13994","750003287","4837"
"14113","750003237","4973"
"14139","750003238","4974"
"14160","750003247","5020"
"14197","750006386","5142"
"14227","750003190","5335"
"14248","750003195","5376"
"14260","750003210","5486"
"14360","750003167","5711"
"14382","750003117","5843"
"14390","750003104","6191"
"14416","750003106","6197"
"14466","750003060","6487"
"14501","750003062","6496"
"14535","750003066","6526"
"14551","750003017","6668"
"14590","750003018","6672"
"14608","750003022","6692"
"14627","750006366","6802"
"14784","750002960","6830"
"14799","750006359","6902"
"14819","750002996","7019"
"14843","750002923","7048"
"14868","750002943","7169"
"14893","750002955","7261"
"14944","750002913","7443"
"14954","750002850","7496"
"14967","750002862","7585"
"15032","750002835","8033"
"15045","750002781","8132"
"15062","750006339","8198"
"15119","750002726","8232"
"15160","750002725","8239"
"15183","750002730","8263"
"15203","750006333","8347"
"15212","750002759","8758"
"15248","750002687","8779"
"15286","750002711","8863"
"15487","750002658","8971"
"15559","750002661","8980"
"15615","750002678","8533"
"15710","750002682","8574"
"15783","750002626","8671"
"15789","750002575","9168"
"15809","750002589","9307"
"15842","750008028","9393"
"15844","750002535","9467"
"15886","750002493","9760"
"15898","750002516","9877"
"15926","750002712","8866"
"15931","750002683","8575"
"15937","750007060","2142"
"15944","750007144","6531"
"15949","750003447","3980"
"15965","750003136","5941"
"15981","750006976","6696"
"15991","750002268","Y012"
"16003","750002212","Y059"
"16005","750003960","875"
"16031","750002561","9708"
"16036","750002513","9860"
"16090","750002222","Y100"
"16095","750002221","Y097"
"16096","750002254","Y109"
"16098","750004050","426"
"16117","750003788","1829"
"16120","750003723","2395"
"16141","750003676","2578"
"16479","750002158","Z514"
"16481","750003709","2321"
"16493","750002109","Z572"
"16494","750002115","Z583"
"16498","750002865","7615"
"16512","750002872","7698"
"16521","750002103","Z557"
"16543","750002717","8905"
"16691","750002070","Z704"
"16712","750002417","9182"
"16786","750002075","Z715"
"16787","750003658","2927"
"16794","750006470","805"
"16828","750003639","2834"
"16926","750006409","4021"
"16936","750003453","4033"
"16944","750006410","4042"
"16947","750003455","4043"
"17067","750002131","Z668"
"17068","750002074","9425"
"17075","750003552","3274"
"17082","750003266","5228"
"17192","750006371","6123"
"17202","750002701","9067"
"17205","750002509","9832"
"17219","750003899","1547"
"17267","750003962","872"
"17309","750004013","696"
"17348","750003357","4390"
"17379","750002896","7362"
"17492","750002786","8158"
"17575","750003630","2814"
"17768","750002858","7554"
"17858","750002623","8662"
"17974","750000310","3611"
"17977","750003684","2624"
"17996","750002776","8121"
"18006","750003001","6565"
"18030","750004089","211"
"18031","750004099","256"
"18048","750003948","806"
"18050","750003817","1962"
"18059","750003396","4137"
"18065","750007175","5956"
"18083","750002376","6296"
"18090","750002699","8816"
"18112","750007249","8818"
"18168","750002119","Z633"
"18174","750002507","9828"
"18241","750002178","Y222"
"18249","750007760","Y918"
"18256","750007762","Y919"
"18266","750002187","Y302"
"18268","750004009","672"
"18278","750003885","1474"
"18295","750003839","1695"
"18303","750003737","2463"
"18311","750002547","9620"
"18314","750004054","455"
"18323","750002523","9934"
"18335","750006436","2958"
"18346","750003560","3341"
"18352","750002998","6556"
"18375","750002602","9375"
"18392","750002552","9660"
"18403","750002206","Y402"
"18416","750002136","Y462"
"18421","750004140","30"
"18434","750003939","1326"
"18451","750003940","1335"
"18456","750003814","1941"
"18473","750003914","1172"
"18483","750002518","9892"
"18485","750007159","9971"
"18487","750003662","2952"
"18499","750003849","1756"
"18519","750003804","1887"
"18528","750003458","4056"
"18558","750003445","3983"
"18578","750003375","4477"
"18585","750008016","6309"
"18592","750003055","6423"
"18604","750002830","8017"
"18628","750007150","8819"
"18641","750007153","9005"
"18652","750002636","8710"
"18659","750004091","217"
"18695","750006445","2228"
"18697","750002416","9839"
"18721","750006468","700"
"18729","750003898","1532"
"18731","750003771","2203"
"18741","750003637","2832"
"18744","750003620","3181"
"18748","750003532","3571"
"18761","750008030","4174"
"18766","750006118","4473"
"18796","750003255","5140"
"18823","750007495","5457"
"18828","750000018","5464"
"18838","750003165","5704"
"18845","750003092","6113"
"18854","750003099","6148"
"18858","750002754","8397"
"18864","750006344","8047"
"18874","750003965","876"
"18957","750002761","8048"
"19011","750002168","Z533"
"19030","750002163","Z519"
"19040","750002096","Z540"
"19041","750002108","Z571"
"19075","750006306","Z666"
"19076","750002060","Z673"
"19112","750002073","Z712"
"19121","750002111","Z574"
"19132","750002121","Z635"
"19134","750002127","Z663"
"19135","750002169","Z534"
"19155","750002110","Z573"
"19159","750002129","Z665"
"19174","750002064","Z692"
"19175","750002067","Z701"
"19186","750004138","23"
"19213","750004076","148"
"19225","750004084","161"
"19244","750004029","339"
"19247","750003374","4475"
"19298","750004044","363"
"19306","750004059","509"
"19322","750002418","664"
"19423","750004019","726"
"19433","750004023","799"
"19459","750003968","903"
"19467","750003976","976"
"19474","750003977","990"
"19500","750003929","1257"
"19510","750003872","1418"
"19518","750003887","1484"
"19527","750003837","1693"
"19573","750003848","1748"
"19579","750003861","1810"
"19603","750003864","1818"
"19607","750003799","1872"
"19633","750003749","2012"
"19647","750003750","2014"
"19659","750003755","2084"
"19759","750003757","2091"
"19797","750003710","2324"
"19813","750003713","2333"
"19856","750003730","2426"
"19891","750003738","2464"
"19968","750003745","2503"
"20000","750004092","218"
"20034","750006472","2568"
"20039","750003994","561"
"20061","750003966","877"
"20317","750003894","1512"
"20333","750003832","1673"
"20337","750003840","1696"
"20372","750003841","1698"
"20376","750003859","1799"
"20746","750003753","2055"
"20798","750003717","2360"
"20837","750003635","2827"
"20845","750003530","3561"
"20901","750003418","4258"
"20921","750003930","1271"
"20969","750003602","3055"
"20991","750003438","3958"
"21051","750003267","5237"
"21081","750002421","270"
"21099","750004026","284"
"21108","750000319","6636"
"21125","750003034","6787"
"21133","750002420","500"
"21162","750006314","9681"
"21210","750002519","9893"
"21278","750002377","5600"
"21294","750003185","5795"
"21419","750003186","5810"
"21433","750003051","6406"
"21464","750002897","7363"
"21661","750002857","7540"
"21706","750002809","7755"
"21725","750002831","8019"
"21753","750002832","8021"
"21782","750002787","8160"
"21929","750003775","2223"
"21961","750003700","2742"
"21963","750003474","3726"
"21974","750003343","4743"
"21992","750000318","5809"
"22023","750006377","5986"
"22051","750003110","6224"
"22108","750002419","7459"
"22173","750007766","9116"
"22180","750000320","9280"
"22211","750002598","9338"
"22257","750002524","9935"
"22341","750006435","2928"
"22356","750003665","2971"
"22374","750003835","1680"
"22379","750003805","1888"
"22480","750006444","2215"
"22507","750003773","2226"
"22539","750003782","2278"
"22549","750003644","2856"
"22717","750003499","3902"
"22745","750003448","4003"
"22758","750003450","4061"
"22762","750003590","2993"
"22787","750006364","6723"
"22814","750006355","7186"
"22819","750002777","8122"
"22902","750002757","8416"
"22956","750006327","8561"
"23002","750003611","3105"
"23013","750003618","3171"
"23023","750003621","3182"
"23054","750003622","3215"
"23059","750003623","3218"
"23072","750003548","3268"
"23083","750003556","3295"
"23102","750003561","3342"
"23137","750003568","3371"
"23157","750003569","3373"
"23160","750006423","3375"
"23171","750003572","3392"
"23176","750003512","3471"
"23187","750003518","3503"
"23211","750006420","3595"
"23216","750003540","3623"
"23224","750002422","3829"
"23270","750002413","3905"
"23324","750002423","4126"
"23334","750007016","4148"
"23353","750007350","4163"
"23369","750003411","4192"
"23384","750003351","4354"
"23387","750003372","4466"
"23417","750000334","4520"
"23438","750006397","4733"
"23499","750003345","4754"
"23513","750003272","4775"
"23528","750002482","4829"
"23533","750000266","4790"
"23543","750007998","4991"
"23587","750003299","4897"
"23596","750002414","4910"
"23635","750006394","4942"
"23659","750003234","4963"
"23666","750003235","4965"
"23671","750003257","5156"
"23691","750003265","5220"
"23721","750003187","5296"
"23741","750003201","5422"
"23752","750003217","5541"
"23756","750000317","5580"
"23768","750003974","966"
"23782","750002846","7468"
"23788","750006400","4464"
"23793","750003485","3790"
"23799","750003168","5713"
"23840","750008052","5726"
"23844","750003131","5927"
"23854","750003142","5994"
"23858","750003147","6003"
"23871","750003150","6047"
"23900","750003094","6108"
"23904","750003107","6208"
"23922","750003112","6253"
"23942","750003042","6361"
"23948","750003053","6413"
"23988","750003054","6418"
"23994","750003056","6424"
"24039","750003061","6491"
"24063","750002999","6557"
"24096","750003021","6688"
"24133","750002994","6995"
"24154","750002412","7047"
"24183","750002926","7060"
"24187","750002927","7085"
"24197","750006122","7096"
"24217","750002900","7372"
"24241","750002849","7494"
"24252","750002820","7838"
"24273","750002839","8045"
"24278","750002797","8212"
"24293","750006980","8298"
"24302","750002740","8318"
"24315","750002748","8343"
"24358","750002693","9034"
"24365","750002649","8939"
"24388","750006325","8452"
"24424","750002686","8593"
"24474","750002607","8595"
"24493","750002564","9113"
"24530","750002582","9220"
"24537","750002583","9234"
"24550","750006318","9376"
"24565","750006319","9418"
"24646","750002551","9647"
"24662","750002491","9752"
"24702","750002504","9822"
"24740","750003228","5605"
"24743","750003052","6407"
"24756","750003105","6195"
"24766","750003086","6077"
"24768","750002669","8446"
"24770","750007123","B145"
"24782","750003461","4079"
"24791","750003463","4087"
"24796","750003174","5729"
"24800","750002924","7050"
"24803","750002691","8795"
"24826","750002374","6648"
"24840","750002142","Y582"
"24842","750006455","1812"
"24844","750003677","2580"
"24857","750002718","8906"
"24871","750003949","807"
"24892","750006335","8417"
"24896","750003280","4803"
"24906","750002144","Y622"
"24907","750002146","Y642"
"24913","750002270","Y022"
"24914","750007101","192"
"24918","750002151","6967"
"24925","750003128","5939"
"24953","750002150","5934"
"24960","750008087","6987"
"24981","750006691","Y113"
"24982","750003923","1238"
"25018","750003869","1412"
"25030","750003756","2088"
"25054","750003825","2004"
"25246","750002425","3794"
"25424","750002866","7623"
"25445","750002873","7700"
"25467","750002874","7637"
"25480","750006349","7639"
"25502","750002615","8621"
"25517","750004766","4161"
"25576","750006395","4682"
"25786","750003332","4695"
"25914","750003615","3146"
"25980","750003531","3568"
"25981","750003298","4890"
"25999","750003208","5463"
"26036","750000339","7385"
"26056","750007179","7426"
"26156","750002634","8704"
"26176","750004046","380"
"26261","750004061","517"
"26413","750006533","4567"
"26526","750004414","7710"
"26560","750007300","4160"
"26636","750003248","5025"
"26757","750003084","6072"
"26896","750004334","8912"
"26933","750006308","9829"
"27125","750002876","7711"
"27132","750003227","5602"
"27152","750000072","Y738"
"27153","750000080","Y760"
"27156","750006783","Y807"
"27161","750007267","Y818"
"27165","750007962","Y819"
"27173","750007120","Y859"
"27176","750007442","7469"
"27197","750007242","Y876"
"27200","750007292","Y888"
"27208","750007365","Y897"
"27216","750007413","Y902"
"27220","750007951","Y940"
"27227","750007957","Y954"
"27273","750007958","Y955"
"27283","750002186","Y283"
"27293","750008043","Y933"
"27297","750008044","Y962"
"27304","750008079","Y976"
"27322","750008086","Y977"
"27334","750004016","717"
"27345","750004017","719"
"27357","750003917","1212"
"27362","750003763","2121"
"27371","750003747","2518"
"27381","750002670","8450"
"27382","750003729","2424"
"27395","750002882","7288"
"27400","750003011","6632"
"27409","750002961","6834"
"27419","750002201","Y343"
"27423","750002134","Y423"
"27426","750004007","665"
"27451","750003983","1089"
"27470","750003918","1213"
"27496","750003850","1763"
"27509","750007265","2415"
"27517","750003068","6539"
"27521","750003070","6541"
"27534","750003481","3767"
"27556","750003009","6629"
"27584","750002608","8597"
"27603","750002537","9472"
"27623","750006312","9623"
"27637","750002549","9641"
"27644","750002496","9770"
"27658","750004074","158"
"27661","750006097","369"
"27669","750007297","507"
"27676","750006424","3389"
"27682","750002753","8395"
"27700","750004093","236"
"27704","750002558","9694"
"27719","750003330","4683"
"27739","750003656","2903"
"27753","750007985","3535"
"27764","750008073","5002"
"27778","750003285","4827"
"27803","750000335","4809"
"27809","750002475","5708"
"27810","750003012","6633"
"27816","750008032","7094"
"27819","750007975","7117"
"27828","750002937","7127"
"27838","750007964","7428"
"27845","750002915","7449"
"27859","750007315","8253"
"27864","750002622","8658"
"27881","750004258","9617"
"27883","750003010","6630"
"27884","750003992","559"
"27897","750003436","3954"
"27909","750002593","9319"
"27915","750007963","2097"
"27922","750003993","560"
"28013","750003437","3956"
"28030","750003333","4696"
"28039","750000246","3816"
"28072","750002987","6937"
"28133","750002430","26"
"28163","750004139","27"
"28197","750004069","115"
"28205","750004073","139"
"28296","750004075","144"
"28319","750007345","163"
"28343","750004082","157"
"28353","750004088","205"
"28361","750007323","219"
"28397","750004094","239"
"28429","750008035","198"
"28452","750007968","375"
"28473","750006475","531"
"28525","750003990","537"
"28545","750007720","543"
"28555","750003991","548"
"28563","750004005","645"
"28569","750004008","666"
"28665","750004015","713"
"28679","750004018","720"
"28755","750003956","836"
"28776","750003961","870"
"28805","750006465","1052"
"28919","750003919","1214"
"28956","750003920","1229"
"29015","750003921","1235"
"29023","750003934","1302"
"29127","750005017","1312"
"29156","750003938","1323"
"29181","750006461","1332"
"29225","750003943","1379"
"29252","750003867","1403"
"29281","750003871","1417"
"29321","750003888","1490"
"29370","750003857","1785"
"29388","750003858","1790"
"29429","750003863","1816"
"29455","750003792","1843"
"29490","750003798","1870"
"29507","750006451","1974"
"29514","750002432","2000"
"29530","750003764","2122"
"29607","750003715","2351"
"29663","750003727","2408"
"29679","750003746","2513"
"29683","750003748","2519"
"29765","750003674","2567"
"29775","750003681","2603"
"29820","750003957","837"
"29843","750003883","1465"
"29880","750003736","2461"
"29920","750003657","2917"
"29984","750003241","4979"
"29995","750003947","1388"
"30047","750003774","2220"
"30129","750003735","2450"
"30137","750003475","3730"
"30173","750003399","4151"
"30318","750003121","5860"
"30330","750004027","285"
"30382","750002852","7509"
"30414","750002803","7731"
"30425","750002821","7852"
"30448","750002775","8106"
"30479","750002671","8451"
"30546","750002510","9852"
"30572","750003573","3393"
"30617","750003322","4619"
"30636","750003326","4636"
"30662","750002919","7024"
"30774","750002807","7748"
"30792","750002774","8102"
"30808","750002794","8203"
"30820","750006334","8396"
"30859","750002694","9055"
"30864","750007166","1406"
"30902","750003752","2044"
"30963","750003711","2328"
"31014","750003705","2776"
"31024","750006416","3877"
"31041","750007220","3880"
"31073","750003401","4159"
"31079","750003402","4164"
"31102","750007192","4251"
"31161","750003366","4443"
"31171","750003328","4656"
"31182","750003158","5650"
"31192","750003164","5686"
"31253","750003123","5893"
"31282","750002965","6844"
"31308","750002884","7324"
"31369","750002770","8085"
"31398","750002568","9138"
"31426","750002578","9185"
"31468","750002517","9880"
"31486","750002521","9912"
"31511","750006316","9320"
"31780","750002505","9824"
"31792","750003634","2825"
"31819","750003331","4684"
"31828","750004004","642"
"31881","750003843","1715"
"31907","750006449","1911"
"32124","750003586","2980"
"32146","750003820","1984"
"32334","750003772","2208"
"32363","750006447","2302"
"32372","750006439","2768"
"32478","750003636","2826"
